b,Titulo,Tema,Disciplina,Curso,Chamada UAB,IES
268,Li_TecProg_Anima2_Listas,Técnicas de Programação ,Técnicas de Programação,INFORMATICA,UAB,IFES
269,LI_TecProg_Anima3_Filas,Técnicas de Programação ,Técnicas de Programação,INFORMATICA,UAB,IFES
270,LI_TecProg_Anima4_Pilha,Técnicas de Programação ,Técnicas de Programação,INFORMATICA,UAB,IFES
271,Livro - Informática na Educação,Introdução a Informática: Computador Ferramenta,Introdução a Informática: computador ferramenta,INFORMATICA NA EDUCACAO,UAB,IFES
272,Lógica de Programação,Lógica de Programação,LÓGICA DE PROGRAMAÇÃO ,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
273,Material Impresso - Auditoria e Segurança de Sistemas,Auditoria e Seguranaça de Sistemas,AUDITORIA E SEGURANÇA DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
274,Material Impresso - Informática e Sociedade,Informática e Sociedade,INFORMÁTICA E SOCIEDADE,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
275,Material Impresso - Programação I,Programação I,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
276,Material Impresso - Programação para Internet,Programação para Internet,PROGRAMAÇÃO PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
277,Material Impresso - Projeto de Sistemas para Internet,Projeto de Sistemas para Internet,PROJETO DE SISTEMAS PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
278,Metodologia da Pesquisa em Informatica em Saude,Informatica em Saude,METODOLOGIA CIENTÍFICA DA PESQUISA EM INFORMÁTICA EM SAÚDE,INFORMATICA EM SAUDE,UAB,UNIFESP
279,PESQUISA E ORDENAÇÃO DE DADOS,PESQUISA E ORDENAÇÃO DE DADOS,Pesquisa e Ordenação de Dados,COMPUTACAO,UAB,UECE
280,Podcast 1 - Por que trabalhar com Software Livre na educação?,Sistemas Multimídia ,Sistemas Multimídia,INFORMATICA,UAB,IFES
281,PROGRAMAÇÃO I,Programação,PROGRAMAÇÃO I,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
282,PROGRAMAÇÃO PARA INTERNET,PROGRAMAÇÃO PARA INTERNET,PROGRAMAÇÃO PARA INTERNET,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
283,Projeto de Banco de Dados Orientado a Objetos,Projeto de Banco de Dados Orientado a Objetos,PROJETO DE BANCO DE DADOS ORIENTADO A OBJETOS,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
284,Projeto de Banco de Dados Relacional,Projeto de Banco de Dados Relacional,PROJETO DE BANCO DE DADOS RELACIONAL,TECNOLOGIA EM SISTEMAS PARA INTERNET A DISTANCIA,UAB,IFSul
285,PROJETO DE SISTEMAS,PROJETO DE SISTEMAS,PROJETOS DE SISTEMAS,TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS,UAB,IFES
